"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"SERIES"
"id","label","description"
"INDINF_CPI_M","CPI Inflation","Consumer price index (CPI) 2005 basket - Canada; All-items"
"INDINF_LOWTARGET","INDINF_LOWTARGET","Consumer Price Index (CPI); Inflation control target, Lower band"
"INDINF_UPPTARGET","INDINF_UPPTARGET","Consumer Price Index (CPI); Inflation control target, Higher band"

"OBSERVATIONS"
"date","INDINF_CPI_M","INDINF_LOWTARGET","INDINF_UPPTARGET"
"2020-01-01","2.4","1.000000","3.000000"
"2020-02-01","2.2","1.000000","3.000000"
"2020-03-01","0.9","1.000000","3.000000"
"2020-04-01","-0.2","1.000000","3.000000"
"2020-05-01","-0.4","1.000000","3.000000"
"2020-06-01","0.7","1.000000","3.000000"
"2020-07-01","0.1","1.000000","3.000000"
"2020-08-01","0.1","1.000000","3.000000"
"2020-09-01","0.5","1.000000","3.000000"
"2020-10-01","0.7","1.000000","3.000000"
"2020-11-01","1.0","1.000000","3.000000"
"2020-12-01","0.7","1.000000","3.000000"
"2021-01-01","1.0","1.000000","3.000000"
"2021-02-01","1.1","1.000000","3.000000"
"2021-03-01","2.2","1.000000","3.000000"
"2021-04-01","3.4","1.000000","3.000000"
"2021-05-01","3.6","1.000000","3.000000"
"2021-06-01","3.1","1.000000","3.000000"
"2021-07-01","3.7","1.000000","3.000000"
"2021-08-01","4.1","1.000000","3.000000"
"2021-09-01","4.4","1.000000","3.000000"
"2021-10-01","4.7","1.000000","3.000000"
"2021-11-01","4.7","1.000000","3.000000"
"2021-12-01","4.8","1.000000","3.000000"
"2022-01-01","5.1","1.000000","3.000000"
"2022-02-01","5.7","1.000000","3.000000"
"2022-03-01","6.7","1.000000","3.000000"
"2022-04-01","6.8","1.000000","3.000000"
"2022-05-01","7.7","1.000000","3.000000"
"2022-06-01","8.1","1.000000","3.000000"
"2022-07-01","7.6","1.000000","3.000000"
"2022-08-01","7.0","1.000000","3.000000"
"2022-09-01","6.9","1.000000","3.000000"
"2022-10-01","6.9","1.000000","3.000000"
"2022-11-01","6.8","1.000000","3.000000"
"2022-12-01","6.3","1.000000","3.000000"
"2023-01-01","5.9","1.000000","3.000000"
"2023-02-01","5.2","1.000000","3.000000"
"2023-03-01","4.3","1.000000","3.000000"
"2023-04-01","4.4","1.000000","3.000000"
"2023-05-01","3.4","1.000000","3.000000"
"2023-06-01","2.8","1.000000","3.000000"
"2023-07-01","3.3","1.000000","3.000000"
"2023-08-01","4.0","1.000000","3.000000"
"2023-09-01","3.8","1.000000","3.000000"
"2023-10-01","3.1","1.000000","3.000000"
"2023-11-01","3.1","1.000000","3.000000"
"2023-12-01","3.4","1.000000","3.000000"
"2024-01-01","2.9","1.000000","3.000000"
"2024-02-01","2.8","1.000000","3.000000"
"2024-03-01","","1.000000","3.000000"
